Store No,Store Name,Address,formatted_address_google,location_lat,location_lng,Coordinate
176,FamilyMart Damansara Heights,"No. 28-G, Jalan Medan Setia 2, Plaza Damansara, Bukit Damansara, 50490 Kuala Lumpur. ","28-G, Jalan Medan Setia 2, Bukit Damansara, 50490 Wilayah Persekutuan, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.1490849,101.6532738,"3.1490849, 101.6532738"
177,FamilyMart Bukit Beruang,"658F-G, Jalan Delima, Taman Bukit Melaka, Hang Tuah Jaya, 75450 Ayer Keroh, Melaka.","Hang Tuah Jaya, 658F-G, Jln Delima, Taman Bukit Melaka, 75450 Ayer Keroh, Melaka, Malaysia",2.2463291,102.2740218,"2.2463291, 102.2740218"
178,FamilyMart Batu Berendam,"No. 36, Ground Floor, Jalan Mutiara Melaka 2, Taman Mutiara Melaka, 75350 Batu Berendam, Melaka.","No. 36, Jalan Mutiara Melaka 2, Taman Mutiara Melaka, 75350 Batu Berendam, Melaka, Malaysia",2.2380696,102.2605598,"2.2380696, 102.2605598"
179,FamilyMart Bukit Baru,"19, Jalan PNBBU 1, Pusat Perniagaan Bukit Baru Utama, 75150 Bukit Baru, Melaka.","19, Jalan PNBBU 1, Pusat Perniagaan Bukit Baru Utama, 75150 Bukit Baru, Melaka, Malaysia",2.2163858,102.2703715,"2.2163858, 102.2703715"
180,FamilyMart Puncak Bertam,"2A, Jalan PB 1A, Taman Puncak Bertam, 75250 Melaka","2A, Jalan PB 1A, Taman Puncak Bertam, 75250 Melaka, Malaysia",2.2527724,102.2223758,"2.2527724, 102.2223758"
181,FamilyMart Melaka Sentral,"TZB14/TZB15, Zone B Terminal, Melaka Sentral, Jalan Tun Abdul Razak, Peringgit, 75300 Melaka.","TZB14/TZB15, Zone B Terminal, Melaka Sentral, Jalan Tun Abdul Razak, Plaza Melaka Sentral, 75300 Melaka, Malaysia",2.2207505,102.2502344,"2.2207505, 102.2502344"
182,FamilyMart Sunggala Gateway,"No. 18-G, Block B, Jalan PDS 1, PD Sunggala Gateway, Teluk Kemang, 71050 Port Dickson, Negeri Sembilan Darul Khusus.","No. 18-G, Block B, Jalan PDS 1, PD Sunggala Gateway, Teluk Kemang, Kampung Baharu, 71050 Port Dickson, Negeri Sembilan, Malaysia",2.4744779,101.8572219,"2.4744779, 101.8572219"
183,FamilyMart Kuala Pilah,"PT 3173, Taman Melang Shoplot, Jalan Melang, 72000 Kuala Pilah, Negeri Sembilan.","PT 3173, Taman Melang Shoplot, Jalan Melang, Kampung Gemelang, 72000 Kuala Pilah, Negeri Sembilan, Malaysia",2.7343841,102.2349578,"2.7343841, 102.2349578"
184,FamilyMart Gateway@KLIA Terminal 2 Arrivals (2),"L2-27, 29 &30, Level 2, gateway@klia2, Arrival Hall, Terminal KLIA2, KL International Airport, Jalan KLIA 2/1, 64000 KLIA, Sepang, Selangor.","L2-27, 29 & 30, Level 2, gateway@KLIA2, Terminal KLIA2, Kuala Lumpur International Airport, Arrival Hall, Jln Klia 2/1, 64000 Sepang, Selangor, Malaysia",2.7440889,101.6856391,"2.7440889, 101.6856391"
186,"FamilyMart One Maxim, Sentul","G-3,One Maxim, No.1 Jalan Pelangi 2, 51000 Sentul, Kuala Lumpur.","G-3, One Maxim, No.1, Jalan Pelangi 2, Sentul, 51000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.2049891,101.6895751,"3.2049891, 101.6895751"
187,"FamilyMart Seksyen 15, Bangi","No.17 GF, Jalan 15/1A, Seksyen 15, 43650 Bandar Baru Bangi, Selangor.","No.17 GF, Jalan 15/1b, Seksyen 15, 43650 Bandar Baru Bangi, Selangor, Malaysia",2.9335167,101.7684996,"2.9335167, 101.7684996"
188,FamilyMart Malim Jaya,"No. 13, Jalan Rahmat 2, Taman Malim Jaya, 75250 Melaka.","No. 13, Jalan Rahmat 2, Taman Malim Jaya, 75250 Melaka, Malaysia",2.2401306,102.23385,"2.2401306, 102.23385"
189,FamilyMart Galleria @ Kotaraya,"Lot GF-29, Level GF, Galleria @ Kotaraya, Jalan Trus, UTC, 80000 Johor Bahru, Johor.","Lot GF-29, Level GF, Galleria @ Kotaraya, Jalan Trus, UTC, 80000 Johor Bahru, Johor, Malaysia",1.4589305,103.7631074,"1.4589305, 103.7631074"
190,FamilyMart Caltex Setia Alam,"No.2, Jala Setia Utama AR U13/AR, Setia Alam, Seksyen U13, 40170 Shah Alam, Selangor.  

Coordinate: 3?07'25.9""N 101?28'00.1""E","No.2, Jala, Jalan Setia Utama AR U13/AR, Seksyen U13, Setia Alam, 40170 Shah Alam, Selangor, Malaysia",3.1238402,101.4662807,"3.1238402, 101.4662807"
191,FamilyMart Wisma UOA 2,"Unit No. 1-9D & 1-9E, Level 1, Wisma UOA II, 21, Jalan Pinang, 50450 Kuala Lumpur.","Unit No. 1-9D & 1-9E, Level 1 Wisma UOA II, Kuala Lumpur, 50450 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1523218,101.7118905,"3.1523218, 101.7118905"
192,FamilyMart Caltex Taman Impian Emas," Part of PTD 107072, Jalan Seri Impian 1, Taman Impian Emas, 81300 Skudai, Johor.","PTD 107072, Jalan Seri Impian 1, Taman Impian Emas, 81300 Skudai, Johor, Malaysia",1.545594,103.6830348,"1.545594, 103.6830348"
193,FamilyMart R&R Skudai,"Lot 1A, 7A Jalan R&R Skudai, Kawasan R&R Skudai, 81400 Senai, Johor.","Lot 1A, 7A Jalan R&R Skudai, Kawasan R&R Skudai, 81400 Senai, Johor, Malaysia",1.5916709,103.6355533,"1.5916709, 103.6355533"
194,FamilyMart Petron Kota Masai,"Lot PTD 213415 ,Taman Kota Masai, Plentong, 81700 Johor Bahru, Johor.","Jalan Jambu Utama, Taman Pasir Putih, 81700 Pasir Gudang, Johor, Malaysia",1.4874688,103.9503708,"1.4874688, 103.9503708"
195,FamilyMart Taman Setia Indah,"No.2, Jalan Setia 3/2, Taman Setia Indah 81100 Johor Bahru, Johor.","No.2, Jalan Setia 3/2, Taman Setia Indah, 81100 Johor Bahru, Johor, Malaysia",1.5721719,103.7568385,"1.5721719, 103.7568385"
